"function_name"	"formal_names"
"check_duration_prior_predictive"	"specification|draws|seed|plausible_median|maximum_q99|maximum_cv|maximum_condition_ratio|maximum_extreme_probability"
"check_model_ppc"	"fit|..."
"check_pupil_posterior_predictive"	"fit|ndraws|probability|window|max_cells"
"check_pupil_prior_predictive"	"specification|execute|backend|draws|chains|iter|warmup|cores|seed|probability|max_cells"
"collect_model_evidence"	"fit|design|diagnostics|posterior|ppc|estimands|loo|kfold|sensitivity|manifest|compute"
"compare_analysis_manifests"	"x|y"
"compare_estimand_sensitivity"	"reference|alternatives|quantity"
"compare_gp3bayes_schemas"	"x|y|compare_lengths"
"compare_psis_loo"	"models|moment_match|reloo|cores"
"compare_pupil_sensitivity_estimands"	"results"
"compute_kfold_cv"	"fit|K|folds|group|joint|save_fits|seed"
"compute_loo_model_weights"	"x|method|cores"
"compute_psis_loo"	"fit|moment_match|reloo|cores|save_psis"
"compute_psis_loo_from_log_lik"	"log_lik|chain_id|cores|save_psis"
"create_analysis_bundle"	"fit|newdata|ndraws|include_group_effects|include_loo"
"create_analysis_figure_set"	"x"
"create_analysis_manifest"	"specification|fit|data|estimands|sensitivity_plan|seed|label|notes"
"create_binary_model_report"	"fit|diagnostics|posterior_summary|posterior_predictive|prior_sensitivity|recovery|file|overwrite"
"create_brms_sbc_plan"	"specification|n_sims|backend|chains|iter|warmup|thin|seed|generator_iter|generator_warmup"
"create_complete_evidence_inventory"	"...|label"
"create_contrast_coding_sensitivity_specification"	"specification|condition_coding|baseline"
"create_custom_sbc_plan"	"generator_function|backend|n_sims|generator_args|seed"
"create_diagnostic_dashboard"	"fit|analysis_bundle|model_card|loo|prior_posterior|sensitivity|recovery|sbc|label"
"create_diagnostic_dashboard_figures"	"x"
"create_duration_model_report"	"fit|diagnostics|posterior_summary|posterior_predictive|prior_sensitivity|recovery|file|overwrite"
"create_duration_unit_sensitivity_specification"	"specification|multiplier|new_unit"
"create_figure_set"	"...|title"
"create_group_deletion_sensitivity_plan"	"specification|group|units|max_units"
"create_loo_influence_atlas"	"x|data|threshold"
"create_model_card"	"fit|analysis_bundle|manifest|label"
"create_model_contract"	"family|outcome_col|participant_col|item_col|trial_col|condition_col|time_col|predictors|interaction|random_slope|outcome_unit|notes"
"create_model_evidence_report"	"evidence|file|overwrite"
"create_model_specification"	"contract|audit|priors"
"create_prediction_contrast_profile"	"fit|variable|contrast_variable|contrast_levels|values|n|at|measure|include_group_effects|ndraws|probs"
"create_prediction_grid"	"x|variables|at|numeric_at|max_rows"
"create_prediction_profile"	"fit|variable|values|n|at|type|include_group_effects|allow_new_levels|ndraws|probs|seed"
"create_prediction_surface"	"fit|x|y|x_values|y_values|n|at|type|include_group_effects|allow_new_levels|ndraws|probs|seed|max_rows"
"create_predictive_distribution_atlas"	"fit|ndraws|include_group_effects|seed"
"create_predictor_scaling_sensitivity_specification"	"specification|predictor|scale_factor|coefficient_scale|interaction_scale"
"create_prior_specification"	"contract|baseline|intercept_scale|coefficient_scale|group_sd_scale|residual_scale|correlation_eta|student_df"
"create_publication_registry"	"label"
"create_publication_table_set"	"x"
"create_pupil_contract"	"outcome_col|participant_col|trial_col|time_col|pupil_unit|sampling_frequency|time_unit|item_col|condition_col|timestamp_col|eye|left_pupil_col|right_pupil_col|channel_audit_unit|validity_col|interpolation_col|blink_col|gaze_x_col|gaze_y_col|luminance_col|contrast_col|screen_width|screen_height|baseline_window|baseline_method|baseline_applied|pfe_corrected|pfe_method|source_vendor|device_model|preprocessing_provenance|upstream_package|upstream_version|notes"
"create_pupil_sensitivity_suite"	"specification|baseline_windows|baseline_window_operation|baseline_operations|interpolation_policy|blink_adjacent_margins|gaze_adjustment|luminance_adjustment|pfe_prepared|smooth_basis_dimensions|autocorrelation|analysis_windows"
"create_pupil_validation_plan"	"x|target|K|future_fraction|seed"
"create_random_slope_sensitivity_plan"	"specification"
"create_reporting_checklist"	"x"
"create_sensitivity_suite_plan"	"prior_scale|powerscale|psis_loo|random_slope_plan|group_deletion_plan|alternative_estimands|duration_unit|prior_scale_args|powerscale_args|psis_args|random_slope_args|group_deletion_args"
"create_transformation_recipe"	"prepared"
"design_support_table"	"x"
"detect_binary_separation"	"x|formula|data"
"diagnose_binary_fit"	"fit|rhat_pass|rhat_fail|ess_per_chain_pass|ess_per_chain_fail|maximum_treedepth_fraction|ebfmi_pass|ebfmi_fail"
"diagnose_duration_fit"	"fit|rhat_pass|rhat_fail|ess_per_chain_pass|ess_per_chain_fail|maximum_treedepth_fraction|ebfmi_pass|ebfmi_fail"
"diagnose_model_fit"	"fit|..."
"diagnose_pupil_fit"	"fit|ndraws|max_lag|max_cells"
"diagnostic_dashboard_table"	"x"
"duration_pit_table"	"x"
"duration_prediction_scores"	"x|observed"
"duration_qq_table"	"x|probs"
"duration_quantile_calibration"	"x|quantiles"
"duration_tail_check"	"x|threshold"
"estimand_sensitivity_table"	"x"
"estimate_model_estimands"	"fit|..."
"estimate_pupil_auc"	"prediction|window|probability"
"estimate_pupil_peak"	"prediction|window|probability"
"estimate_pupil_peak_latency"	"prediction|window|probability"
"estimate_pupil_trajectory"	"prediction|probability|interval"
"estimate_pupil_window"	"prediction|window|probability"
"estimate_standardized_duration_estimands"	"fit|target_data|target_scale|predictive_quantile|ndraws|include_group_effects|seed"
"estimate_standardized_probability_contrast"	"fit|target_data|target_scale|ndraws|include_group_effects"
"evaluate_pathological_simulation"	"x"
"evidence_inventory_table"	"x"
"extract_expected_predictions"	"fit|newdata|include_group_effects|allow_new_levels|ndraws"
"extract_linear_predictions"	"fit|newdata|include_group_effects|allow_new_levels|ndraws"
"extract_log_likelihood"	"fit|newdata|include_group_effects|ndraws"
"extract_posterior_draws"	"fit|variables|regex|format"
"extract_posterior_predictions"	"fit|newdata|include_group_effects|allow_new_levels|ndraws|seed"
"extract_sampler_diagnostics"	"fit"
"fit_binary_model"	"specification|chains|iter|warmup|cores|seed|adapt_delta|max_treedepth|refresh"
"fit_binary_model_backend"	"specification|backend|chains|iter|warmup|cores|seed|adapt_delta|max_treedepth|refresh"
"fit_binary_model_cmdstanr"	"specification|chains|iter|warmup|cores|seed|adapt_delta|max_treedepth|refresh"
"fit_duration_model"	"specification|chains|iter|warmup|cores|seed|adapt_delta|max_treedepth|refresh"
"fit_duration_model_backend"	"specification|backend|chains|iter|warmup|cores|seed|adapt_delta|max_treedepth|refresh"
"fit_duration_model_cmdstanr"	"specification|chains|iter|warmup|cores|seed|adapt_delta|max_treedepth|refresh"
"fit_pupil_model"	"specification|chains|iter|warmup|cores|seed|adapt_delta|max_treedepth|refresh"
"fit_pupil_model_backend"	"specification|backend|chains|iter|warmup|cores|seed|adapt_delta|max_treedepth|refresh"
"fit_pupil_model_cmdstanr"	"specification|chains|iter|warmup|cores|seed|adapt_delta|max_treedepth|refresh"
"freeze_analysis_manifest"	"manifest|file|overwrite"
"freeze_gp3bayes_schema"	"schema|file|overwrite"
"gazepoint_pupil_mapping_table"	"x"
"gp3bayes_specification_traceability"	""
"group_deletion_sensitivity_table"	"x"
"group_effect_draws_table"	"fit|groups|coefficients|ndraws|seed|max_rows"
"group_effect_rank_probability_table"	"fit|group|coefficient|ndraws|seed"
"group_effect_table"	"fit|groups|probs"
"group_prediction_summary"	"x|by|probs"
"grouped_prediction_check"	"fit|group|ndraws|probs|seed"
"identify_identifier_like_predictors"	"data|contract|unique_fraction|integer_fraction|monotone_correlation"
"identify_loo_influential_observations"	"x|threshold|data"
"identify_mcmc_issues"	"x|rhat_threshold|min_bulk_ess|min_tail_ess|max_mcse_fraction"
"inspect_gazepoint_pupil_schema"	"data"
"interaction_prior_summary"	"specification"
"invert_transformation_recipe"	"data|recipe"
"loo_diagnostic_table"	"x"
"loo_flagged_data"	"x|threshold"
"loo_group_influence_table"	"x|group|data"
"loo_influence_atlas_table"	"x"
"loo_influence_summary"	"x"
"loo_pointwise_table"	"x|data"
"loo_summary_table"	"x"
"manifest_comparison_table"	"x"
"materialize_pupil_sensitivity_scenario"	"suite|scenario_id"
"mcmc_diagnostic_table"	"fit|variables|regex"
"missingness_audit_table"	"x"
"model_card_table"	"x"
"model_comparison_table"	"x"
"model_evidence_table"	"x"
"model_weights_table"	"x"
"model_workflow_status"	"x"
"plot_autocorrelation"	"fit|variables|regex|lags"
"plot_backend_environment_gg"	"x"
"plot_backend_parity_gg"	"x"
"plot_binary_calibration"	"x|bins"
"plot_binary_calibration_uncertainty"	"x"
"plot_binary_group_calibration"	"x|group"
"plot_binary_precision_recall"	"x|observed"
"plot_binary_roc"	"x|observed"
"plot_binary_threshold_metrics"	"x|observed|thresholds"
"plot_design_support_gg"	"x"
"plot_diagnostic_dashboard"	"x"
"plot_duration_pit"	"x|bins"
"plot_duration_qq"	"x"
"plot_duration_quantile_calibration"	"x"
"plot_duration_tail"	"x"
"plot_estimand_intervals"	"x|quantities|probs"
"plot_estimand_sensitivity_gg"	"x"
"plot_exceedance_probability"	"x"
"plot_group_deletion_sensitivity"	"x"
"plot_group_effect_distribution"	"x|max_levels"
"plot_group_effect_rank_probability"	"x"
"plot_group_effects"	"x|groups"
"plot_group_predictions"	"x|group_column"
"plot_grouped_prediction_check"	"x"
"plot_loo_group_elpd"	"x"
"plot_loo_group_influence"	"x"
"plot_loo_influence"	"x"
"plot_loo_influence_rank"	"x"
"plot_loo_pareto_vs_elpd"	"x"
"plot_loo_pointwise_elpd"	"x"
"plot_manifest_comparison_gg"	"x"
"plot_mcmc_quality"	"x"
"plot_missingness_gg"	"x"
"plot_model_comparison"	"x"
"plot_model_evidence_gg"	"x"
"plot_model_weights"	"x"
"plot_posterior_areas"	"x|variables|regex|prob|prob_outer"
"plot_posterior_correlations"	"x|variables|regex|method"
"plot_posterior_density"	"x|variables|regex"
"plot_posterior_intervals"	"x|variables|regex|prob|prob_outer"
"plot_posterior_pairs"	"fit|variables|regex|max_variables"
"plot_powerscale_sensitivity_gg"	"x"
"plot_ppc_statistic"	"x|bins"
"plot_prediction_contrast_profile"	"x"
"plot_prediction_draws"	"x|observations|max_draws"
"plot_prediction_gradient"	"x"
"plot_prediction_interval_width"	"x"
"plot_prediction_intervals"	"x|max_rows"
"plot_prediction_profile"	"x"
"plot_prediction_rank_probabilities"	"x"
"plot_prediction_score_uncertainty"	"x"
"plot_prediction_support"	"x"
"plot_prediction_surface"	"x"
"plot_prediction_surface_uncertainty"	"x"
"plot_predictive_atlas_statistics"	"x"
"plot_predictive_coverage"	"x"
"plot_predictive_quantile_envelope"	"x"
"plot_predictive_residuals"	"x"
"plot_prior_posterior_contraction"	"x"
"plot_prior_posterior_density"	"x|max_draws"
"plot_prior_posterior_intervals"	"x"
"plot_prior_posterior_shift"	"x"
"plot_prior_sensitivity"	"x"
"plot_prior_sensitivity_scenarios"	"x"
"plot_pupil_estimand"	"x"
"plot_pupil_measurement_audit"	"x"
"plot_pupil_observed_trajectory"	"x|summary"
"plot_pupil_posterior_trajectory"	"x"
"plot_pupil_ppc"	"x|component"
"plot_pupil_readiness"	"x"
"plot_pupil_residual_acf"	"x"
"plot_pupil_sensitivity"	"x"
"plot_pupil_validation"	"x"
"plot_random_intercept_variance_partition"	"x"
"plot_random_slope_sensitivity"	"x"
"plot_rank_diagnostics"	"fit|variables|regex"
"plot_recovery_bias"	"x"
"plot_recovery_coverage"	"x"
"plot_recovery_estimates"	"x|variables"
"plot_recovery_fit_status"	"x"
"plot_recovery_rmse"	"x"
"plot_reporting_checklist"	"x"
"plot_sampler_diagnostics"	"fit"
"plot_sampling_diagnostics"	"fit|type|variables"
"plot_sbc_coverage_gg"	"x|variables|..."
"plot_sbc_ecdf_gg"	"x|variables|..."
"plot_sbc_rank_gg"	"x|variables|..."
"plot_sbc_simulated_vs_estimated_gg"	"x|variables|..."
"plot_schema_comparison_gg"	"x"
"plot_sensitivity_suite_gg"	"x"
"plot_uncertainty_decomposition"	"x|max_rows"
"plot_variance_components"	"x"
"posterior_correlation_table"	"x|variables|regex|method"
"posterior_interval_table"	"x|variables|regex|probs"
"posterior_predictive_statistic"	"x|statistic|threshold"
"posterior_predictive_summary_table"	"x|probs"
"posterior_probability_table"	"x|variables|regex|rope"
"powerscale_sensitivity_table"	"x"
"powerscale_sequence_for_fit"	"fit|variable|prior_selection|likelihood_selection|component"
"ppc_statistic_table"	"x"
"predict_binary_probability"	"fit|newdata|include_group_effects|allow_new_levels|ndraws|probs"
"predict_duration"	"fit|newdata|type|include_group_effects|allow_new_levels|ndraws|probs|seed"
"predict_model"	"fit|newdata|type|include_group_effects|allow_new_levels|ndraws|probs|seed"
"predict_pupil_trajectory"	"fit|newdata|type|ndraws|population_only|allow_new_levels|max_grid|max_cells"
"prediction_contrast"	"x|row1|row2|measure|probs"
"prediction_contrast_profile_table"	"x"
"prediction_draws_long"	"x|max_draws|seed"
"prediction_exceedance_probability"	"x|threshold|direction"
"prediction_gradient_table"	"x|probs"
"prediction_interval_width"	"x"
"prediction_pairwise_contrasts"	"x|rows|measure|max_rows|probs"
"prediction_profile_table"	"x"
"prediction_rank_probabilities"	"x|rows|direction|max_rows"
"prediction_score_uncertainty"	"fit|newdata|include_group_effects|ndraws|probs"
"prediction_score_uncertainty_table"	"x"
"prediction_support_table"	"x"
"prediction_surface_table"	"x"
"prediction_table"	"x"
"prediction_uncertainty_decomposition"	"fit|newdata|include_group_effects|allow_new_levels|ndraws|seed"
"predictive_coverage_table"	"x|levels"
"predictive_distribution_atlas_table"	"x"
"predictive_quantile_envelope"	"x|probabilities|probs|ndraws|include_group_effects|seed"
"predictive_residuals"	"fit|type|ndraws"
"preflight_model_specification"	"specification|..."
"prepare_hierarchical_binary_data"	"data|contract|outcome_mapping|condition_levels|condition_coding|scale_predictors|scale_time|missing"
"prepare_hierarchical_duration_data"	"data|contract|condition_levels|condition_coding|scale_predictors|scale_time|outcome_multiplier|converted_unit|missing"
"prepare_pupil_timecourse"	"data|contract|baseline_operation|baseline_window|output_unit|scale_covariates|max_rows|irregularity_review_cv"
"prior_posterior_bridge"	"fit|variables|regex|ndraws|probs|seed"
"prior_posterior_distance_table"	"x"
"prior_posterior_draws_long"	"x|max_draws|seed"
"prior_posterior_summary_table"	"x"
"prior_sensitivity_scenario_table"	"x"
"prior_sensitivity_table"	"x"
"prior_specification_table"	"x"
"publication_registry_table"	"x"
"pupil_condition_contrast"	"prediction|contrast|threshold|probability"
"pupil_measurement_audit_table"	"x"
"pupil_ppc_table"	"x|component"
"pupil_readiness_table"	"x|component"
"pupil_residual_acf"	"x|max_lag|ndraws"
"pupil_sensitivity_table"	"x"
"pupil_specification_table"	"x"
"pupil_trajectory_table"	"x"
"pupil_validation_table"	"x"
"random_intercept_variance_partition"	"fit|probs"
"random_intercept_variance_partition_table"	"x"
"random_slope_sensitivity_table"	"x"
"read_analysis_manifest"	"file"
"read_gp3bayes_schema"	"file"
"recovery_estimate_table"	"x"
"recovery_fit_status_table"	"x"
"recovery_parameter_table"	"x"
"register_publication_figure"	"registry|name|figure|caption|source"
"register_publication_table"	"registry|name|table|caption|source"
"review_duration_extremes"	"data|contract|mad_cutoff|iqr_multiplier"
"run_binary_recovery"	"repetitions|n_participants|trials_per_participant|n_items|include_items|random_slope|seed|chains|iter|warmup|cores|adapt_delta|max_treedepth|refresh|interval_probability|minimum_repetitions|maximum_standardized_bias|minimum_coverage|minimum_diagnostic_pass_fraction|continue_on_error"
"run_duration_recovery"	"repetitions|n_participants|trials_per_participant|n_items|include_items|random_slope|baseline_median|outcome_unit|seed|chains|iter|warmup|cores|adapt_delta|max_treedepth|refresh|interval_probability|minimum_repetitions|maximum_standardized_bias|minimum_coverage|minimum_diagnostic_pass_fraction|continue_on_error"
"run_group_deletion_sensitivity"	"plan|backend|chains|iter|warmup|cores|seed|adapt_delta|max_treedepth|refresh|ndraws|retain_fits"
"run_random_slope_sensitivity"	"plan|backend|chains|iter|warmup|cores|seed|adapt_delta|max_treedepth|refresh|ndraws|retain_fits"
"run_sbc_plan"	"plan|cores_per_fit|keep_fits|thin_ranks|cache_mode|cache_location"
"run_sensitivity_suite"	"fit|plan|reference_estimand|stop_on_error"
"sampler_diagnostic_table"	"fit"
"save_figure_set"	"x|directory|width|height|dpi|device|overwrite"
"save_publication_registry_figures"	"x|directory|width|height|dpi|device|overwrite"
"sbc_overview_table"	"x"
"sbc_stats_table"	"x"
"schema_comparison_table"	"x"
"sensitivity_suite_table"	"x"
"simulate_binary_pathology"	"scenario|seed"
"simulate_declared_prior_draws"	"x|variables|regex|ndraws|seed"
"simulate_duration_pathology"	"scenario|seed"
"simulate_hierarchical_binary_data"	"n_participants|trials_per_participant|n_items|intercept|condition_effect|participant_covariate_effect|trial_covariate_effect|interaction_effect|participant_sd|item_sd|random_slope_sd|random_slope_cor|condition_probability|balanced_condition|include_items|seed"
"simulate_hierarchical_duration_data"	"n_participants|trials_per_participant|n_items|baseline_median|condition_effect|participant_covariate_effect|trial_covariate_effect|interaction_effect|participant_sd|item_sd|random_slope_sd|random_slope_cor|residual_sd|condition_probability|balanced_condition|include_items|outcome_unit|seed"
"simulate_pupil_timecourse"	"n_participants|trials_per_participant|n_items|sampling_frequency|time_window|baseline_window|conditions|baseline_pupil|response_amplitude|condition_difference|peak_latency|participant_sd|item_sd|residual_sd|ar1|blink_trial_probability|blink_duration|include_gaze|include_luminance|gaze_drift_sd|luminance_amplitude|seed|max_rows"
"specify_binary_model"	"prepared|baseline|intercept_scale|coefficient_scale|group_sd_scale|correlation_eta|student_df"
"specify_binary_model_with_interaction_prior"	"prepared|baseline|intercept_scale|main_effect_scale|interaction_scale|group_sd_scale|correlation_eta|student_df"
"specify_duration_model"	"prepared|baseline|intercept_scale|coefficient_scale|group_sd_scale|residual_scale|correlation_eta|student_df"
"specify_duration_model_with_interaction_prior"	"prepared|baseline|intercept_scale|main_effect_scale|interaction_scale|group_sd_scale|residual_scale|correlation_eta|student_df"
"specify_pupil_timecourse_model"	"prepared|temporal_structure|smooth_basis_dimension|condition_trajectory|autocorrelation|participant_trajectory|item_effects|covariates|prior_scales"
"summarise_binary_group_variation"	"data|contract|group"
"summarise_binary_posterior"	"fit|probability|variables"
"summarise_condition_balance"	"data|contract|warning_fraction|failure_fraction"
"summarise_duration_posterior"	"fit|probability|variables"
"summarise_estimand_draws"	"x|quantities|probs"
"summarise_mcmc_quality"	"fit|..."
"summarise_model_posterior"	"fit|..."
"summarise_pupil_posterior"	"fit|probability"
"summarise_sbc_result"	"x"
"summarise_sensitivity_suite"	"x"
"theme_gp3bayes"	"base_size|base_family"
"translate_binary_model_to_brms"	"specification"
"translate_binary_model_with_interaction_prior"	"specification"
"translate_duration_model_to_brms"	"specification"
"translate_duration_model_with_interaction_prior"	"specification"
"translate_pupil_model_to_brms"	"specification"
"validate_analysis_manifest"	"manifest|strict"
"validate_backend_environment"	"backend|compile_test|strict"
"validate_gp3bayes_object"	"x|recursive|strict"
"validate_gp3bayes_schema"	"x|schema|strict|compare_lengths"
"validate_prior_specification"	"priors|contract"
"validate_publication_registry"	"x"
"validate_pupil_model"	"fit|plan|execute|ndraws|max_cells"
"validate_transformation_replay"	"prepared|tolerance"
"variance_component_table"	"fit|probs"
"write_analysis_bundle_report"	"x|file"
"write_diagnostic_dashboard_report"	"x|file|overwrite"
"write_model_card"	"x|file|overwrite"
"write_publication_registry"	"x|file|overwrite"
"write_reproducibility_report"	"manifest|file|overwrite"
